Id,Subject,Theme,Topic,Subtopic
03d5a820-c1d0-4248-8e7f-c7b675aeacd7,Physics,Sound,Sound Propagation - Vacuum,Explain why sound cannot travel through a vacuum.
042fd563-32b4-4880-8856-f336b38c646c,Physics,The universe and its evolution,Structure of the Universe - Stars,"The criteria for classifying stars (mass, temperature, luminosity)."
046aa473-2fb0-4ee2-a075-6ec8b193a7ee,Biology,Plant Reproduction,"The formation of sex cells, pollination, and fertilization",
0508e9ea-01c2-4b6f-8d99-9e2f0b7334be,Physics,Radioactivity,Background Radiation,
05c89b6e-acf1-4c65-956e-9d8bd3c8920b,Biology,Plant Structure,vascular tissue,the functions
0779ef4a-ce4b-40a7-9a81-2cefc2660f01,Biology,Evolution,Concept of Evolution,Evidence
08137f67-235c-4223-b62b-fbfb44e9086d,Physics,Sound,Sound Characteristics- Intensity,Intensity relation to distance from the sound source.
0964fec7-2dbe-4e20-995d-4e508fb944d8,Chemistry,Periodic law,Metal and Nonmetal Ionization,Groups 1 (IA) and 17 (VIIA) Examples
096ebb77-a4f5-48c3-974e-43aed980bcbe,Physics,Optical Instruments,Telescopes and Binoculars,
0a3d1000-df56-474f-a76b-199cb9d10339,Biology,Cell Structure and Function,Bacterial Cell,Nucleoid: Storage of hereditary information
0b62b219-35f4-4ce5-bf9b-d82e3264797c,Biology,Plant Structure,Leaves,
0b7f3c3a-1135-4f82-aa86-6bb8f7b5fe12,Physics,Material structure,Coulomb,
0bfd2d41-bb34-489e-8ffc-cdc7aaee1ba0,Physics,Optical Instruments,Vision Correction - Nearsightedness (Myopia),
0bfea1b6-0cd8-4e7f-b9e6-0babd5e7523d,Biology,Viruses,Virus Role,Discuss the components of a virus and their functions.
0c2cf2fc-b553-41ce-9ef4-2ec4ed8f8d3e,Biology,Plant Structure,Fruits,the functions
0c4a7070-194d-4f60-abd0-96d7abaedc01,Chemistry,Periodic law,Periods and Groups,The significance of periods and groups
0c580b26-22e7-4e52-b21f-de50d6af22f5,Physics,Sound,Types of Sound-Ultrasound,The characteristics and applications of ultrasound.
0c6080e1-1efb-4762-ae44-9046083efd46,Biology,Plant Structure,Roots,the functions
0c744d76-7209-4a7a-92da-0dfa448e226b,Physics,Optical Instruments,The Eye,Structure
0cd51030-5d0f-4186-a8cb-61c5c3f98307,Biology,Cell Structure and Function,Bacterial Cell,Parts and function of parts
0d86d24d-cbcb-479a-9125-bcdc58360e0a,Physics,Sound,Types of Sound- Infrasound,The characteristics and applications of infrasound.
0daf6daa-3894-4dac-8928-a150baf35026,Chemistry,Periodic law,Similarities of Elements in a Group,Valence Shell
0e51b0ac-ef76-4a67-81ee-1b3873617da7,Chemistry,Chemical Reactions,Classifying Chemical Reactions,"Combination, Decomposition, Single Displacement, Double Displacement Reactions"
0e78db97-5fec-4cc7-9799-389aa5e86480,Chemistry,Chemical Reactions,Stoichiometric Calculations,Calculating Reactant or Product Masses using Relative Molecular Masses and Balanced Equations
0ebbb4ba-a1bc-400f-a409-a6a098bb4201,Chemistry,Material structure,Atomic Structure of the First 20 Elements,
0edccf83-b448-4dec-b2c4-eeb8ec6df220,Biology,Vertebrates,Reproduction,
0f59148a-de52-4786-b539-19dfb0945d97,Chemistry,Material structure,The number of neutrons in an atom,
1027bad2-9956-4083-bdcb-60c9ab61dc57,Biology,Plant Structure,"Tissues ",
12503b33-88cd-4b8c-98a5-6d5086e82c54,Biology,Diversity of life,Classification Principles,Explain how these principles are used to classify organisms.
