Id,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswerLetter,CorrectAnswerExplanation,modelType,contentId
0008c73d-c6d8-4534-b9c3-7bf2c9b751a1,Which of the following is NOT an example of adaptation?,Changes that occur as a result of natural selection that help an organism better survive and reproduce in its environment,Mutations caused by exposure to harmful radiation,Random changes in the DNA sequence of an organism,Changes that occur due to genetic inheritance and have no effect on an individual's ability to survival and reproduce,D,"Adaptation is a change that occurs as a result of natural selection that helps an organism better survive and reproduce in its environment. Mutations caused by exposure to harmful radiation are NOT adaptations as they do not have a beneficial effect on an organism's ability to survival and reproduce. Random changes in the DNA sequence of an organism can also lead to mutations, but these are also not adaptations. Changes that occur due to genetic inheritance are also not adaptations, as they do not necessarily provide a benefit to an individual's ability to survival and reproduce.",1,6f76a823-223b-4f86-9ebd-a991e53f9c6d
0017e77d-8484-482f-8641-1ec4ae706a8c,What is covalent bonding?,The sharing of electrons between atoms with opposite charges,The sharing of electrons between atoms with the same charges,The attraction between atoms due to electrostatic forces,The attraction between atoms due to gravitational forces,A,"Covalent bonding is the sharing of electrons between atoms with opposite charges, which results in a stable molecular structure.",1,3223cf0e-4c65-424c-91be-c22e2455c831
001e0431-1999-4e1f-b4d4-a372e918b491,Which electron shell is completely filled in a neutral sodium atom?,The first shell,The second shell,The third shell,The fourth shell,A,"Sodium has a total of 11 electrons, and all 11 electrons are placed in the first shell. This is because sodium is in Group 1 of the periodic table, which means that it has a complete outer shell.",2,607813c7-dbfd-4bc9-b063-4ecb7d2f5cb2
00456156-df64-4ba5-b14c-21e150945a8c,Which part of a plant root functions primarily to absorb water and nutrients?,Xylem,Phloem,Cortex,Endodermal Cells,A,The xylem tissue in plant roots is responsible for transporting water and minerals from the root tips to the upper parts of the plant.,2,76b79eb8-286e-4768-b308-93e490f21a06
006e0fed-a9ca-4c24-818d-38453a4e9720,What is the primary function of roots in plants?,to store water and nutrients,to protect the plant from pathogens,to transport sugars and other organic compounds,to photosynthesize,A,"Roots help plants absorb water and nutrients from the soil, which is essential for their survival and growth.",0,6b3d30f4-0346-4303-9ce7-7523ef2fee24
0074b503-7ad2-4282-88af-d60ebe8d0fe5,What is the molecular geometry of a molecule with the formula CO2?,trigonal planar,tetrahedral,octahedral,linear,A,The molecular geometry of CO2 is trigonal planar because the three oxygen atoms are positioned at the corners of an equilateral triangle.,0,d73f0952-3cb6-4dcc-8d0f-7de2c2867163
007efea7-bfca-4064-80dd-d832f25d97c8,What is the half-life of a radioactive isotope undergoing alpha decay?,10 seconds,1 year,10 years,infinite,B,"Alpha decay is a random process, so the half-life of a radioactive isotope undergoing alpha decay is unpredictable. However, on average, the half-life of a radioactive isotope is about 5.25 years. Therefore, answer B, 1 year, is incorrect.",0,7b94ee58-f28e-4349-843c-df56f44b5682
00904a38-a1d5-440c-afef-5d7dfdea6fc0,Which characteristic is common to all alkali metals?,High reactivity,Low ionization energy,Good conductivity,High electronegativity,A,Alkali metals are highly reactive due to their low ionization energy.,2,f0bf0b83-dc09-44b1-917e-2d5b243ae384
009455d9-e6ac-4f90-81ba-08c46cc8f059,"What is the correct model of the atom that explains the arrangement of protons, neutrons, and electrons in the atom?",The Plum Pudding Model,The Thumb Rule Model,The Quantum Mechanical Model,The Atomic Orbital Model,D,"The Atomic Orbital Model is the correct model of the atom that explains the arrangement of protons, neutrons, and electrons in the atom. According to this model, electrons are arranged in energy levels or shells around the nucleus, and each shell can hold a maximum number of electrons. This model is supported by evidence from experiments and observations.",0,7a9b8e68-6985-4eb4-9ca3-1105e3d1b66f
009e7c72-cb8f-4b31-889d-dc05f5de53ee,What is the chemical name for the element with the atomic number 4?,Chlorine,Oxygen,Beryllium,Nitrogen,C,The element with the atomic number 4 is Beryllium (Be). The atomic number determines the number of protons in an atom's nucleus.,1,0c4a7070-194d-4f60-abd0-96d7abaedc01
00b55aa6-a95f-4928-b85d-764f202d5d01,Which of these animals represents the Insect class and is found in Lithuania?,An elephant,A giraffe,A whale,An ant,D,The ant is a representative of the insect class and is commonly found in Lithuania.,1,dfabced8-fd7a-4de0-a9e3-6da370e2ca82
00b6a81f-af76-44bf-8251-dd89c4287116,"In a balanced chemical reaction, what must always be conserved in mass?",Energy,Molecules,Potential energy,Molecules of Reactants,D,"In a balanced chemical reaction, the number of atoms of each element must be conserved, as the total mass of the reactants must be equal to the total mass of the products. This is the Law of Conservation of Mass, which states that neither matter nor energy can be created or destroyed, only transferred or transformed.",1,3b1a5f81-db12-4d93-adaa-8486b92e3351
00c9270d-4860-4c74-9a11-a74e43ae1fac,What is the generally accepted estimate for the abundance of hydrogen atoms in the universe?,50%,25%,75%,100%,A,"Hydrogen is thought to be the most abundant element in the universe, making up about 75% of its elemental mass.",1,5e6cd40e-eed6-4433-8738-19c6a5802372
00cbd315-2d1f-467c-84f6-97807d663777,Which property is NOT influenced by the covalent bonding properties of covalent bonds?,Polarity,Strength,Symmetry,Chain Length,D,The chain length is not influenced by the covalent bonding properties of covalent bonds.,2,bb62adde-8ff4-4529-984e-8dbb83ea8632
00cefbef-d132-4477-bd4c-fe2b4c6856a7,What is the process called when a body of an organism is replaced by minerals?,Fossilization,Evolution,Species,Extinction,A,"Fossilization is the process by which the body of an organism is replaced by minerals after death, creating a fossil. This process can occur through a variety of means, such as burial in sediment or preservation in amber. The resulting fossil can provide valuable information about the organism, such as its appearance, behavior, and evolutionary history.",0,7970074c-4f66-45ae-a497-0fdcb9471f2c
00cf29ac-2fcb-4790-a191-f816386f281a,What is the primary function of the central vacuole in plant cells?,Store water and nutrients for the cell,Provide structural support and rigidity to the cell membrane,Control the cell's movement and direction,Transport molecules and materials around the cell,A,The central vacuole is responsible for storing water and nutrients for the cell. This stored water and nutrients are essential for cell growth and reproduction.,2,43638d87-a0d8-4a7d-a315-2907bc03af92
00fc3c3f-d484-466a-808b-e4d7c98c08e2,What is the definition of density in an ecosystem population?,The number of individuals per unit of area in an ecosystem population.,The amount of space required by each individual in an ecosystem population.,The number of organisms per unit of time in an ecosystem population.,The number of food resources per unit of time in an ecosystem population.,A,Density refers to the number of individuals per unit of area in an ecosystem population. It is commonly measured in units such as individuals/m^2 or organisms/m^2.,1,77ec9245-f912-407f-8b68-131f8d51e569
011408c6-5a06-4233-8c17-01e83d2c3c52,What is the primary function of the vascular tissue in plants?,To provide support to the plant,To regulate the water balance of the plant,To facilitate the movement of nutrients throughout the plant,To protect the plant from disease and pests,C,"The vascular tissue in plants, which consists of xylem and phloem, is responsible for transporting water, minerals, and sugars throughout the plant. It provides a system for the plant to distribute these essential nutrients and resources, allowing the plant to grow and thrive.",0,4f25e12e-9d85-4eab-bc7e-2f532e693e11
011e93fd-dad3-4c66-b5eb-218a3f457183,In what way do genetically modified organisms (GMOs) impact ecosystem stability?,GMOs can destabilize an ecosystem by introducing non-native genes that outcompete local species,GMOs have no impact on ecosystem stability,GMOs can increase biodiversity in an ecosystem,GMOs can have unpredictable effects on ecosystem stability due to their genetic novelty,D,"Genetically modified organisms (GMOs) have been introduced into ecosystems for various agricultural, medical and biological purposes. However, this genetic novelty can have unpredictable effects. Some of the possible negative effects of GMOs on ecosystem stability include the loss of genetic diversity and the disruption of food webs due to the introduction of non-native traits. Therefore, it is important to carefully consider the potential impacts of GMOs on ecosystem stability before introducing them into natural environments.",1,2ba83fc9-13c7-4dd5-b295-3a96a9243052
0120a01e-8279-417e-9d89-42d0432a9fd5,What variable affects the rate of a chemical reaction the most?,Concentration,Energy,Temperature,Time,A,The rate of a chemical reaction is most affected by the concentration of the reactants.,1,b3a521f1-32c4-4d39-8850-6d6d3a76e848
012966a8-c1a3-4f5c-8354-1aca4d60fc24,What is the typical size of a bacteria virus?,10 micrometers,100 micrometers,1 millimeter,1 centimeter,A,"Bacteria viruses, also known as bacteriophages, are typically between 0.02 and 0.3 micrometers in size.",1,b27154f7-930a-46fc-aad4-2bcf8d7ab808
0129a16a-52c1-4b60-a9b1-78f173ddc79a,What type of interspecific relationship does a bee have with a flower?,Ectosymbiosis,Endosymbiosis,Symbiosis,Parasitism,C,"Symbiosis is a type of interspecific relationship in which two organisms are closely associated with each other. In this case, the bee is a symbiotic partner of the flower because it depends on the flower for nectar and pollen, while providing pollination services.",1,2ae91b06-4b25-43ea-b0c6-61bc617d3c19
